Iterations;Overall best;Worst;Average;Best
0;-32171.8;-105400;-62038;-32171.8
1;-32171.8;-81065.9;-55427.9;-32482.4
2;-32171.8;-85800.6;-51675.6;-34715.3
3;-30788.5;-87622.7;-44805.3;-30788.5
4;-27654.1;-58591;-39812.2;-27654.1
5;-27337.3;-65980;-38928.2;-27337.3
6;-26886.9;-62547.3;-37132.1;-26886.9
7;-22781.5;-58387.5;-35544.7;-22781.5
8;-22781.5;-60884.2;-32623.3;-22781.5
9;-21757.7;-45985.4;-30039.9;-21757.7
10;-21757.7;-36145;-27851.2;-21919.7
11;-19961;-37299.3;-26776.2;-19961
12;-19961;-34840.1;-25386.2;-20189.1
13;-19961;-30404.7;-24771.7;-20060.1
14;-19961;-32874.1;-24106.1;-20359.5
15;-19739;-27716.7;-23277.1;-19739
16;-18588.3;-35589.4;-22961.5;-18588.3
17;-17687.2;-34183;-23170;-17687.2
18;-17687.2;-29200.2;-22906.4;-17687.2
19;-17640.9;-29649.5;-22723.3;-17640.9
20;-17640.9;-27111.6;-22238.7;-17797.4
21;-17640.9;-26922;-21976.4;-18713.5
22;-17640.9;-30165.4;-22100;-18330.8
23;-17370;-25799.5;-21429.1;-17370
24;-17078.7;-25263.7;-20568.9;-17078.7
25;-15184.3;-25368;-20324.4;-15184.3
26;-15184.3;-31808.2;-20501.4;-15838.6
27;-15184.3;-29102.5;-20300;-15838.6
28;-15184.3;-34476.7;-19827.1;-15838.6
29;-15184.3;-27319.1;-19602.2;-15838.6
30;-15184.3;-23197.9;-19268.1;-17413
31;-15184.3;-35059.2;-19498.9;-17007.5
32;-15184.3;-23736.4;-19232.3;-16956.8
33;-15184.3;-22421.2;-18842.5;-16510.3
34;-15184.3;-23385.4;-18808.8;-16510.3
35;-15184.3;-34611.9;-18862.2;-16688.3
36;-15184.3;-21501.7;-18259.3;-16066.4
37;-15184.3;-21190.4;-18320.8;-15798.9
38;-15058.8;-24801.1;-18152.5;-15058.8
39;-15058.8;-21633.9;-18195.1;-15742.7
40;-15058.8;-22298.2;-18067;-15742.7
41;-15058.8;-22457.9;-17811.3;-15311.9
42;-15058.8;-22989;-17723.2;-15311.9
43;-15058.8;-20907;-17457.8;-15065.6
44;-13994.3;-19675.7;-17020.6;-13994.3
45;-13994.3;-21406.5;-17266.3;-15174.4
46;-13994.3;-19449.2;-16916.5;-15339.7
47;-13994.3;-19515.3;-16905.7;-14208.3
48;-13994.3;-19794.6;-16915.1;-14502.6
49;-13994.3;-26019.6;-16878.2;-14502.6
50;-13994.3;-22092.4;-16573;-14502.6
51;-13994.3;-22010.1;-16603.6;-14297.1
52;-13645.4;-20809.4;-16263.4;-13645.4
53;-13484.4;-19207.3;-16079;-13484.4
54;-13484.4;-19739.2;-15675;-13484.4
55;-13484.4;-20024.6;-15578.4;-13515.1
56;-13056.9;-21721.8;-15317.2;-13056.9
57;-11856.2;-23945.2;-15066;-11856.2
58;-11302.4;-18372;-14677.1;-11302.4
59;-11302.4;-19507.9;-14485.5;-12490.9
60;-11302.4;-17197.1;-14288.1;-12482.6
61;-11302.4;-20614.9;-14179.4;-12532.5
62;-11267.7;-16975.9;-13961.4;-11267.7
63;-11202;-19724.7;-13747.8;-11202
64;-10919.2;-15942.9;-13373.2;-10919.2
65;-10848.8;-18470;-13196.2;-10848.8
66;-10848.8;-19923.7;-13060.8;-11022.7
67;-10456.6;-18467.2;-12773.2;-10456.6
68;-10456.6;-18059.1;-12514;-10633.5
69;-10388.7;-18821.3;-12120.7;-10388.7
70;-10181.1;-15700.6;-11988.3;-10181.1
71;-10181.1;-15831.6;-11689.6;-10293
72;-10181.1;-15281.3;-11467.4;-10293
73;-9897.49;-14655.3;-11280.3;-9897.49
74;-9897.49;-14611;-10945.9;-9897.49
75;-9038.54;-14780.6;-10938;-9038.54
76;-9038.54;-19105;-10889.2;-9356.44
77;-9038.54;-13102.7;-10528.9;-9288.57
78;-8878.82;-13349.8;-10432.4;-8878.82
79;-8812.05;-13069.2;-10197.3;-8812.05
80;-8812.05;-14565.8;-10259.8;-9345.8
81;-8806.9;-12033;-9867.25;-8806.9
82;-8806.9;-11782.6;-9806.77;-8947.93
83;-8806.9;-15499.8;-9907.92;-8927.17
84;-8743.65;-13054.7;-9565.86;-8743.65
85;-8659.88;-14303.9;-9622.52;-8659.88
86;-8329.3;-15788.9;-9661.76;-8329.3
87;-8029.77;-12755.7;-9398.05;-8029.77
88;-8029.77;-13080.7;-9303.09;-8137.78
89;-8029.77;-13694.3;-9257.76;-8137.78
90;-8029.77;-18873;-9122.72;-8137.78
91;-7876.17;-16411.5;-8762.01;-7876.17
92;-7415.33;-13997.2;-8581.91;-7415.33
93;-7106.2;-12536.3;-8487.36;-7106.2
94;-7106.2;-12728.9;-8520.58;-7733.45
95;-7106.2;-11654.5;-8415.2;-7733.45
96;-7106.2;-17575;-8372.72;-7733.45
97;-7106.2;-12037.1;-8334.29;-7344.24
98;-6963.2;-12955.6;-8169.87;-6963.2
99;-6963.2;-24019.3;-8173.71;-7180.51
Best solution:
	TSP: [39, 25, 30, 14, 27, 23, 42, 2, 7, 3, 20, 16, 50, 40, 6, 5, 24, 26, 51, 12, 11, 28, 49, 1, 31, 29, 44, 22, 32, 41, 19, 8, 43, 15, 38, 4, 13, 52, 47, 33, 10, 9, 45, 18, 17, 21, 34, 35, 46, 37, 48, 36]
KSP: 
