Iterations;Overall best;Worst;Average;Best
0;-3.70788e+06;-4.50195e+06;-4.14979e+06;-3.70788e+06
1;-3.70788e+06;-4.554e+06;-4.06341e+06;-3.70788e+06
2;-3.6357e+06;-4.29956e+06;-4.00948e+06;-3.6357e+06
3;-3.61452e+06;-4.40413e+06;-3.97224e+06;-3.61452e+06
4;-3.54376e+06;-4.19978e+06;-3.91121e+06;-3.54376e+06
5;-3.54372e+06;-4.25529e+06;-3.85338e+06;-3.54372e+06
6;-3.5186e+06;-4.06509e+06;-3.78207e+06;-3.5186e+06
7;-3.5186e+06;-4.35793e+06;-3.76279e+06;-3.53326e+06
8;-3.49472e+06;-4.30406e+06;-3.72108e+06;-3.49472e+06
9;-3.37365e+06;-4.08009e+06;-3.70476e+06;-3.37365e+06
10;-3.37365e+06;-4.23318e+06;-3.70687e+06;-3.47562e+06
11;-3.37365e+06;-3.94886e+06;-3.66293e+06;-3.45132e+06
12;-3.37365e+06;-4.04045e+06;-3.66741e+06;-3.4136e+06
13;-3.37365e+06;-4.10896e+06;-3.65977e+06;-3.38962e+06
14;-3.32197e+06;-4.10196e+06;-3.63857e+06;-3.32197e+06
15;-3.32197e+06;-4.10081e+06;-3.61145e+06;-3.32209e+06
16;-3.24939e+06;-3.89838e+06;-3.58079e+06;-3.24939e+06
17;-3.23752e+06;-3.96205e+06;-3.54184e+06;-3.23752e+06
18;-3.22801e+06;-3.82978e+06;-3.49062e+06;-3.22801e+06
19;-3.2176e+06;-3.73315e+06;-3.46605e+06;-3.2176e+06
20;-3.216e+06;-3.69541e+06;-3.44763e+06;-3.216e+06
21;-3.216e+06;-3.62065e+06;-3.40586e+06;-3.2176e+06
22;-3.17657e+06;-3.5923e+06;-3.37781e+06;-3.17657e+06
23;-3.17657e+06;-3.68201e+06;-3.3701e+06;-3.19375e+06
24;-3.17657e+06;-3.63977e+06;-3.35878e+06;-3.19802e+06
25;-3.14772e+06;-3.6487e+06;-3.35614e+06;-3.14772e+06
26;-3.13514e+06;-3.58308e+06;-3.3232e+06;-3.13514e+06
27;-3.13514e+06;-3.56662e+06;-3.28704e+06;-3.15303e+06
