Iterations;Overall best;Worst;Average;Best;FFE
0;3.40977e+06;-282151;68286;3.40977e+06;100
1;3.78351e+06;-134522;246580;3.78351e+06;192
2;6.36834e+06;-109020;1.06165e+06;6.36834e+06;286
3;6.70434e+06;-55909;2.94085e+06;6.70434e+06;379
4;7.97084e+06;-109596;4.39419e+06;7.97084e+06;474
5;9.21073e+06;-83195;5.21425e+06;9.21073e+06;564
6;9.21073e+06;-81511;5.72229e+06;9.21073e+06;658
7;9.21073e+06;-138025;6.31463e+06;9.20308e+06;748
8;9.21073e+06;-127749;6.18534e+06;9.21073e+06;840
9;9.23511e+06;-125823;5.86338e+06;9.23511e+06;935
10;9.23511e+06;-153683;6.41014e+06;9.23511e+06;1029
11;9.23511e+06;-163493;6.92653e+06;9.23511e+06;1124
12;9.23511e+06;-162601;6.976e+06;9.23511e+06;1215
13;9.23511e+06;-134475;6.51693e+06;9.23511e+06;1306
14;9.23511e+06;-163493;6.95936e+06;9.23511e+06;1389
15;9.23511e+06;-134475;7.14341e+06;9.23511e+06;1478
16;9.23511e+06;-134475;6.78836e+06;9.23511e+06;1567
17;9.23511e+06;-33507;7.22618e+06;9.23511e+06;1658
18;9.23511e+06;-163493;5.59202e+06;9.23511e+06;1752
19;9.23511e+06;-134475;6.57725e+06;9.23511e+06;1848
20;9.23511e+06;-134431;6.78292e+06;9.23511e+06;1941
21;9.23511e+06;-134475;6.98409e+06;9.23511e+06;2037
22;9.23511e+06;-100532;7.63653e+06;9.23511e+06;2129
23;9.23511e+06;-122427;7.30959e+06;9.23511e+06;2223
24;9.23511e+06;-134475;6.64099e+06;9.23511e+06;2321
25;9.23511e+06;-134475;7.0011e+06;9.23511e+06;2406
26;9.23511e+06;-134475;7.05019e+06;9.23511e+06;2499
27;9.23511e+06;-121043;6.37311e+06;9.23511e+06;2595
28;9.23511e+06;-77809;6.60674e+06;9.23511e+06;2687
29;9.23511e+06;-120778;6.95888e+06;9.23511e+06;2782
30;9.23511e+06;-123252;6.79436e+06;9.23511e+06;2875
31;9.23511e+06;-134475;7.43164e+06;9.23511e+06;2967
32;9.23511e+06;-134475;7.32218e+06;9.23511e+06;3061
33;9.23511e+06;-52747;7.26019e+06;9.23511e+06;3153
34;9.23511e+06;-134475;6.60709e+06;9.23511e+06;3249
35;9.23511e+06;-134337;6.60576e+06;9.23511e+06;3344
36;9.23511e+06;-134475;6.57098e+06;9.23511e+06;3439
37;9.23511e+06;-134475;6.40502e+06;9.23511e+06;3532
38;9.23511e+06;-129859;6.87761e+06;9.23511e+06;3624
39;9.23511e+06;-134475;7.26907e+06;9.23511e+06;3710
40;9.23511e+06;-117616;6.0891e+06;9.23511e+06;3807
41;9.23511e+06;-123643;7.04537e+06;9.23511e+06;3901
42;9.23511e+06;-134475;7.06873e+06;9.23511e+06;3996
43;9.23511e+06;-60928;6.73445e+06;9.23511e+06;4087
44;9.23511e+06;-113426;7.25337e+06;9.23511e+06;4177
45;9.23511e+06;-134475;6.84818e+06;9.23511e+06;4268
46;9.23511e+06;-29337;7.16462e+06;9.23511e+06;4361
47;9.23511e+06;-33507;6.41403e+06;9.23511e+06;4458
48;9.23511e+06;-33507;7.25151e+06;9.23511e+06;4553
49;9.23511e+06;-134475;7.83071e+06;9.23511e+06;4634
50;9.23511e+06;-129859;6.90562e+06;9.23511e+06;4725
51;9.23511e+06;-33507;6.98784e+06;9.23511e+06;4814
52;9.23511e+06;-101724;7.03699e+06;9.23511e+06;4908
53;9.23511e+06;-134475;6.73108e+06;9.23511e+06;5004
54;9.23511e+06;-11503;7.77427e+06;9.23511e+06;5093
55;9.23511e+06;-134337;6.40215e+06;9.23511e+06;5187
56;9.23511e+06;-129133;7.1337e+06;9.23511e+06;5277
57;9.23511e+06;-134475;6.76459e+06;9.23511e+06;5367
