Iterations;Overall best;Worst;Average;Best
0;12278;-25832;-3520;12278
1;20808;-7443;7883;20808
2;21158;354;13472;21158
3;25318;6189;17945;25318
4;26577;11088;21315;26577
5;30680;6729;22603;30680
6;34543;13697;25365;34543
7;34543;10323;27387;34543
8;35623;16860;32910;35623
9;37150;21958;33672;37150
10;37874;19801;34255;37874
11;37960;22448;35076;37960
12;39175;17244;36013;39175
13;39834;24719;36504;39834
14;39834;15212;36937;39834
15;40133;24403;37155;40133
16;41432;24140;37517;41432
17;42043;22660;38294;42043
18;42290;15299;38798;42290
19;42599;19410;39436;42599
20;42930;27531;40216;42930
21;43598;26066;40196;43598
22;43637;27723;40644;43637
23;44134;18043;41159;44134
24;44745;30656;41938;44745
25;44745;33386;42496;44745
26;44941;32999;42608;44941
27;44986;21573;42366;44986
28;45196;22476;42484;45196
29;45326;30030;43155;45326
30;45529;18560;42944;45529
31;46068;30041;43343;46068
32;46586;19518;42669;46586
33;46841;30013;43659;46841
34;46841;33672;43872;46841
35;47208;28552;43915;47208
36;47281;32447;44980;47281
37;47295;30961;45220;47295
38;47527;27405;44401;47527
39;47740;28446;45501;47740
40;47847;24187;44766;47847
41;48448;33567;45263;48448
42;48658;26827;45411;48658
43;49414;25703;45272;49414
44;50098;19487;45144;50098
45;50280;31649;46328;50280
46;51239;30992;47624;51239
47;51239;30901;47436;51239
48;51424;29183;48813;51424
49;51574;36626;48957;51574
50;51574;30379;48977;51574
51;51574;22574;48864;51574
52;51623;33626;49439;51623
53;51874;30228;49044;51874
54;52010;37221;49706;52010
55;52309;34834;49559;52309
56;52309;24584;49541;52309
57;52309;37575;49473;52309
58;52410;30161;49636;52410
59;52410;32103;50319;52410
60;52423;30642;49688;52423
61;52423;35279;49925;52423
62;52546;33069;49873;52546
63;52546;25809;48849;52546
64;52563;30871;49783;52563
65;52605;27944;49286;52605
66;52605;29156;49855;52605
67;52622;38910;50441;52622
68;52627;37332;50576;52627
69;52649;31595;49909;52649
70;53047;27536;50356;53047
71;53267;30448;50340;53267
72;53272;29621;49918;53272
73;53272;30706;49990;53272
74;53272;34033;50922;53272
75;53404;31574;50200;53404
76;53404;23804;51031;53404
77;53404;37437;50933;53404
78;53404;32636;50753;53404
79;53404;24154;50491;53404
80;53404;34393;51020;53404
81;53870;36054;50917;53870
82;54122;28325;50514;54122
83;54122;29658;50568;54122
84;54143;36641;51636;54143
85;54149;29048;51417;54149
86;54191;29892;51452;54191
87;54377;28389;51388;54377
88;54383;31635;51395;54383
89;54383;40525;52154;54383
90;54383;33050;51052;54383
91;54383;37500;52045;54383
92;54518;33618;51332;54518
93;54518;32291;51516;54518
94;54625;29310;51636;54625
95;54690;24698;51308;54690
96;54797;37134;51762;54797
97;54797;28483;52131;54797
98;54797;29114;51555;54797
99;54797;30806;51975;54797
Best solution:
	TSP: [19, 7, 2, 42, 32, 33, 11, 52, 14, 13, 27, 28, 43, 45, 3, 17, 21, 31, 20, 16, 29, 30, 23, 18, 22, 1, 50, 44, 48, 24, 25, 4, 51, 12, 26, 47, 46, 6, 15, 5, 38, 37, 40, 39, 36, 34, 35, 49, 10, 9, 8, 41]
KSP: 
