Iterations;Overall best;Worst;Average;Best
0;-996.592;-23342.4;-10198;-996.592
1;-996.592;-16090.9;-7767.67;-996.592
2;-996.592;-15450.5;-6435.37;-996.592
3;-848.784;-16405.6;-5653.78;-848.784
4;-664.688;-10358.8;-4880.42;-664.688
5;-226.165;-9979.87;-4702.16;-226.165
6;-226.165;-8377.35;-4184.46;-226.165
7;-226.165;-15672.8;-4264.76;-489.428
8;-226.165;-17484.4;-3701.76;-489.428
9;-226.165;-12174.8;-3472.45;-489.428
10;-226.165;-12775.5;-3039.05;-489.428
11;-226.165;-7545.86;-2535.08;-274.65
12;-144.881;-19873.4;-2260.45;-144.881
13;-59.0137;-14525.2;-2060.03;-59.0137
14;4.92025;-14742.1;-1836.93;4.92025
15;4.92025;-9435.26;-1784.8;-271.161
16;4.92025;-8123.51;-1428.42;-209.01
17;4.92025;-14389.2;-1473.01;-55.5128
18;4.92025;-11042.9;-1451.1;-55.5128
19;4.92025;-6239.37;-1298.76;-55.5128
20;104.922;-8310.66;-1591.43;104.922
21;104.922;-6220.56;-1125.08;104.922
22;104.922;-10937.4;-1035.85;104.922
23;104.922;-7692.57;-733.42;104.922
24;104.922;-6545.13;-899.475;104.922
25;104.922;-13325.3;-875.59;104.922
26;104.922;-6778.36;-497.931;104.922
27;104.922;-10730.5;-704.737;104.922
28;104.922;-10978.4;-364.305;104.922
29;104.922;-7249.65;-447.723;104.922
30;104.922;-7769.75;-439.893;104.922
31;104.922;-7769.75;-96.7228;104.922
32;104.922;-7742.07;-220.158;104.922
33;104.922;-7769.75;-195.36;104.922
34;104.922;-7532.17;-125.001;104.922
35;104.922;-12168.5;-523.653;104.922
36;104.922;-12168.5;-269.655;104.922
37;104.922;-12168.5;-664.963;104.922
38;104.922;-6221.34;-190.779;104.922
39;104.922;-4861;16.1845;104.922
40;104.922;-6893.69;-358.927;104.922
41;104.922;-6221.34;-248.704;104.922
42;104.922;-10730.5;-251.268;104.922
43;104.922;-4861;-27.0489;104.922
44;104.922;-6824.99;-140.533;104.922
45;104.922;-10730.5;-649.173;104.922
46;104.922;-2571.61;-13.4431;104.922
47;104.922;-6221.34;-59.5314;104.922
48;104.922;-5575.04;-121.624;104.922
49;104.922;-6893.69;-142.452;104.922
50;104.922;-6824.99;-106.51;104.922
51;104.922;-6221.34;-152.03;104.922
52;104.922;-10730.5;-421.149;104.922
53;104.922;-12168.5;-374.452;104.922
54;104.922;-4076.6;-14.9655;104.922
55;104.922;-7769.75;-298.83;104.922
56;104.922;-5859.79;-266.375;104.922
57;104.922;-5859.79;-211.478;104.922
58;104.922;-7769.75;-165.118;104.922
59;104.922;-6221.34;-28.9694;104.922
60;104.922;-12168.5;-110.277;104.922
61;104.922;-5304.03;-176.009;104.922
62;104.922;-6824.99;-188.656;104.922
63;104.922;-7769.75;-126.231;104.922
64;104.922;-10730.5;-222.917;104.922
65;104.922;-4861;-84.6136;104.922
66;104.922;-12168.5;-182.032;104.922
67;104.922;-5859.79;-177.006;104.922
68;104.922;-6893.69;-249.001;104.922
69;104.922;-7769.75;-291.278;104.922
70;104.922;-5859.79;-262.447;104.922
71;104.922;-5575.04;-76.8416;104.922
72;104.922;-5859.79;-143.73;104.922
73;104.922;-1924.02;50.1445;104.922
74;104.922;-12168.5;-523.355;104.922
75;104.922;-10730.5;-195.169;104.922
76;104.922;-12168.5;-187.349;104.922
77;104.922;-12168.5;-263.019;104.922
78;104.922;-7532.17;-253.434;104.922
79;104.922;-3574.35;21.8142;104.922
80;104.922;-12168.5;-430.893;104.922
81;104.922;-12168.5;-370.137;104.922
82;104.922;-10730.5;-237.21;104.922
83;104.922;-6221.34;-103.591;104.922
84;104.922;-10730.5;-329.996;104.922
85;104.922;-7532.17;-275.63;104.922
86;104.922;-3574.35;-22.7057;104.922
87;104.922;-7532.17;-192.922;104.922
88;104.922;-10730.5;-409.623;104.922
89;104.922;-10730.5;-339.461;104.922
90;104.922;-12168.5;-293.214;104.922
91;104.922;-10730.5;-293.746;104.922
92;104.922;-12168.5;-229.634;104.922
93;104.922;-7532.17;-138.694;104.922
94;104.922;-12168.5;-291.38;104.922
95;104.922;-5575.04;-124.201;104.922
96;104.922;-4064.44;-29.0035;104.922
97;104.922;-7769.75;-259.204;104.922
98;104.922;-5575.04;-152.686;104.922
99;104.922;-7769.75;-55.5624;104.922
Best solution:
	TSP: [5, 4, 10, 9, 8, 3, 2, 7, 1, 6]
KSP: 
