Iterations;Overall best;Worst;Average;Best
0;-23441;-142106;-62204;-23441
1;-19338;-76679;-35640;-19338
2;-16080;-54048;-26428;-16080
3;-13146;-43882;-21559;-13146
4;-10365;-48618;-18017;-10365
5;-9305;-35459;-15200;-9305
6;-7996;-44089;-13315;-7996
7;-5736;-36225;-11648;-5736
8;-4130;-32433;-10261;-4130
9;-3450;-28633;-8344;-3450
10;-3051;-26847;-6513;-3051
11;-2401;-27173;-5371;-2401
12;-1925;-22208;-4631;-1925
13;-1466;-25637;-4008;-1466
14;-762;-20806;-3358;-762
15;-328;-19745;-2862;-328
16;-1;-21278;-2097;-1
17;220;-23509;-1513;220
18;332;-20433;-1037;332
19;645;-33469;-805;645
20;968;-17966;-605;968
21;1032;-18443;-374;1032
22;1206;-20426;66;1206
23;1263;-20879;-187;1263
24;1350;-16700;-35;1350
25;1487;-18153;144;1487
26;1528;-21584;546;1528
27;1622;-20840;550;1622
28;1699;-21245;557;1699
29;1741;-20611;617;1741
30;1779;-20954;818;1779
31;1805;-16481;819;1805
32;1836;-18700;831;1836
33;1865;-19168;944;1865
34;1865;-17822;957;1865
35;1865;-16448;1000;1865
36;1865;-18836;1007;1865
37;1865;-20623;975;1865
38;1865;-18135;980;1865
39;1865;-22379;994;1865
40;1865;-17393;957;1865
41;1865;-17385;948;1865
42;1865;-19381;983;1865
43;1865;-26086;978;1865
44;1865;-18710;993;1865
45;1865;-19333;988;1865
46;1865;-20437;978;1865
47;1865;-16760;998;1865
48;1865;-14561;1009;1865
49;1865;-17365;1023;1865
50;1865;-17966;991;1865
51;1865;-20380;996;1865
52;1865;-22586;986;1865
53;1865;-19071;964;1865
54;1865;-16968;982;1865
55;1865;-17064;1028;1865
56;1865;-18040;1005;1865
57;1865;-17082;983;1865
58;1865;-20451;992;1865
59;1865;-22217;974;1865
60;1865;-24403;977;1865
61;1865;-16483;981;1865
62;1865;-22257;1004;1865
63;1865;-17258;1017;1865
64;1865;-16031;974;1865
65;1865;-16387;981;1865
66;1865;-17369;967;1865
67;1865;-20021;967;1865
68;1865;-17259;983;1865
69;1865;-17508;983;1865
70;1865;-21657;980;1865
71;1865;-15789;964;1865
72;1865;-17606;958;1865
73;1865;-15671;996;1865
74;1865;-24306;1031;1865
75;1865;-22538;969;1865
76;1865;-23087;975;1865
77;1865;-19525;997;1865
78;1865;-22555;989;1865
79;1865;-19394;963;1865
80;1865;-18607;971;1865
81;1865;-17648;999;1865
82;1865;-19350;995;1865
83;1865;-18378;1001;1865
84;1865;-21995;933;1865
85;1865;-16715;958;1865
86;1865;-19853;985;1865
87;1865;-24208;989;1865
88;1865;-21615;998;1865
89;1865;-27221;952;1865
90;1865;-24354;977;1865
91;1865;-20662;999;1865
92;1865;-20465;981;1865
93;1865;-18119;959;1865
94;1865;-20574;969;1865
95;1865;-16702;989;1865
96;1865;-17344;976;1865
97;1865;-17415;971;1865
98;1865;-20903;1004;1865
99;1865;-16318;1006;1865
Best solution:
	TSP: [24, 6, 25, 33, 51, 11, 12, 28, 26, 27, 13, 52, 14, 47, 29, 16, 46, 44, 39, 40, 38, 5, 15, 4, 43, 10, 9, 8, 41, 19, 3, 17, 42, 7, 2, 30, 50, 20, 23, 21, 31, 18, 22, 1, 32, 45, 49, 36, 35, 34, 37, 48]
KSP: 
