Iterations;Overall best;Worst;Average;Best;FFE
0;-3.66114e+06;-5.49292e+06;-4.70089e+06;-3.66114e+06;1500
1;-3.52642e+06;-5.24261e+06;-4.25868e+06;-3.52642e+06;2789
2;-3.27065e+06;-5.08115e+06;-3.84832e+06;-3.27065e+06;4114
3;-3.1384e+06;-4.80081e+06;-3.65356e+06;-3.1384e+06;5429
4;-2.87792e+06;-4.74021e+06;-3.47413e+06;-2.87792e+06;6747
5;-2.85113e+06;-4.21379e+06;-3.33184e+06;-2.85113e+06;8024
6;-2.78216e+06;-3.71689e+06;-3.02452e+06;-2.78216e+06;9351
7;-2.65406e+06;-3.47557e+06;-2.92406e+06;-2.65406e+06;10661
8;-2.628e+06;-3.7224e+06;-2.82296e+06;-2.628e+06;11981
9;-2.59324e+06;-3.44999e+06;-2.7611e+06;-2.59324e+06;13317
10;-2.55977e+06;-3.69837e+06;-2.72416e+06;-2.55977e+06;14643
11;-2.52736e+06;-3.3773e+06;-2.68711e+06;-2.52736e+06;15977
12;-2.49103e+06;-3.41082e+06;-2.64724e+06;-2.49103e+06;17291
13;-2.45757e+06;-3.52457e+06;-2.6233e+06;-2.45757e+06;18601
14;-2.42086e+06;-3.30968e+06;-2.59055e+06;-2.42086e+06;19926
15;-2.39743e+06;-3.56576e+06;-2.56898e+06;-2.39743e+06;21248
16;-2.38423e+06;-3.39417e+06;-2.53736e+06;-2.38423e+06;22554
17;-2.38048e+06;-3.57262e+06;-2.52458e+06;-2.38048e+06;23873
18;-2.36637e+06;-3.49244e+06;-2.52142e+06;-2.36637e+06;25187
19;-2.3465e+06;-3.59656e+06;-2.50318e+06;-2.3465e+06;26502
20;-2.33155e+06;-3.33513e+06;-2.49071e+06;-2.33155e+06;27793
21;-2.32114e+06;-3.56855e+06;-2.48896e+06;-2.32114e+06;29111
22;-2.30011e+06;-3.60612e+06;-2.46763e+06;-2.30011e+06;30418
