Iterations;Overall best;Worst;Average;Best;FFE
0;-35423;-139787;-69185;-35423;1000
1;-29780;-99611;-44115;-29780;1991
2;-24858;-66846;-36386;-24858;2975
3;-21281;-60201;-31798;-21281;3960
4;-19026;-67578;-29059;-19026;4939
5;-18292;-54422;-26784;-18292;5927
6;-17313;-52484;-24713;-17313;6918
7;-16276;-48438;-23414;-16276;7908
8;-15589;-52763;-22811;-15589;8894
9;-15167;-48873;-21804;-15167;9875
10;-14469;-45646;-21558;-14469;10857
11;-13177;-44044;-20877;-13177;11849
12;-13177;-44063;-20452;-13805;12840
13;-13143;-41991;-20203;-13143;13825
14;-12997;-39507;-19824;-12997;14817
15;-12539;-47229;-19072;-12539;15801
16;-12539;-38977;-18506;-12539;16791
17;-11497;-41121;-18057;-11497;17772
18;-11099;-45651;-17340;-11099;18757
19;-11099;-44196;-17054;-11099;19742
20;-11001;-37128;-16780;-11001;20734
21;-10870;-41212;-16480;-10870;21721
22;-10610;-60531;-16319;-10610;22707
23;-10285;-44647;-15949;-10285;23690
24;-9918;-41148;-15794;-9918;24677
25;-9642;-36059;-15944;-9642;25661
26;-9551;-42566;-15604;-9551;26648
27;-9120;-38908;-15362;-9120;27636
28;-9120;-42188;-15508;-9176;28626
29;-9120;-34697;-15081;-9176;29617
30;-8929;-33238;-14794;-8929;30607
31;-8904;-39271;-14767;-8904;31589
32;-8565;-33397;-14685;-8565;32578
33;-8451;-38550;-14739;-8451;33564
34;-8451;-36715;-14462;-8451;34548
35;-8180;-43505;-14168;-8180;35539
36;-7933;-41958;-14214;-7933;36526
37;-7851;-40219;-14154;-7851;37519
38;-7851;-42012;-13828;-7851;38504
39;-7636;-42999;-13674;-7636;39485
40;-7636;-38857;-13446;-7636;40467
41;-7531;-33615;-13701;-7531;41457
42;-7531;-33802;-13475;-7531;42446
43;-7418;-39737;-13474;-7418;43435
44;-7337;-35915;-13260;-7337;44424
45;-7234;-33607;-13228;-7234;45407
46;-7137;-51391;-13216;-7137;46392
47;-7090;-33965;-12716;-7090;47383
48;-7034;-34876;-13003;-7034;48367
49;-7034;-38645;-12678;-7034;49352
50;-6955;-35600;-12392;-6955;50343
51;-6955;-44024;-12789;-6955;51332
52;-6875;-36496;-12619;-6875;52320
53;-6822;-35023;-12454;-6822;53308
54;-6806;-35458;-12175;-6806;54293
55;-6793;-38063;-12204;-6793;55279
56;-6790;-36530;-12235;-6790;56261
57;-6747;-38574;-12319;-6747;57246
58;-6695;-41670;-12265;-6695;58229
59;-6691;-45608;-12395;-6691;59215
60;-6480;-46330;-12245;-6480;60201
61;-6472;-31691;-12156;-6472;61189
62;-6472;-36727;-12465;-6472;62175
63;-6472;-34852;-12629;-6472;63161
64;-6469;-41382;-12385;-6469;64145
65;-6469;-35876;-12697;-6469;65132
66;-6327;-36939;-12563;-6327;66116
67;-6327;-34042;-12226;-6327;67093
68;-6327;-35245;-12289;-6327;68072
69;-6319;-51438;-12286;-6319;69057
70;-6304;-34930;-12095;-6304;70049
71;-6301;-38001;-12089;-6301;71043
72;-6108;-38707;-12125;-6108;72030
73;-6100;-35578;-12148;-6100;73014
74;-6100;-33354;-12229;-6108;73998
75;-6100;-39250;-12208;-6108;74988
76;-6100;-45953;-12089;-6100;75973
77;-6100;-52999;-12354;-6100;76952
78;-6092;-48061;-12385;-6092;77939
79;-6092;-36100;-11892;-6092;78922
80;-6092;-39443;-11985;-6092;79912
81;-6085;-36026;-11715;-6085;80899
82;-6066;-32311;-11899;-6066;81894
83;-6037;-33849;-11684;-6037;82876
84;-6037;-36045;-11498;-6037;83867
85;-6037;-34453;-11661;-6052;84854
86;-6037;-43637;-11937;-6037;85835
87;-5990;-47823;-11950;-5990;86820
88;-5922;-35914;-11571;-5922;87811
89;-5922;-43827;-11708;-5922;88791
90;-5922;-34720;-12011;-5922;89775
91;-5922;-37284;-11883;-5922;90762
92;-5922;-41134;-11557;-5922;91751
93;-5922;-37739;-11727;-5922;92742
94;-5922;-33939;-11517;-5922;93727
95;-5922;-36062;-11390;-5922;94711
96;-5922;-33483;-11405;-5922;95696
97;-5906;-32730;-11207;-5906;96684
98;-5906;-39041;-11324;-5906;97670
99;-5906;-37418;-11502;-5906;98659
100;-5906;-36347;-11619;-5906;99647
101;-5906;-35535;-11828;-5906;100630
102;-5900;-42830;-11730;-5900;101623
103;-5900;-36675;-11411;-5900;102608
104;-5882;-35585;-11493;-5882;103596
105;-5882;-32546;-11843;-5882;104580
106;-5882;-35244;-11462;-5882;105557
107;-5882;-40221;-11366;-5882;106546
108;-5882;-42863;-11494;-5882;107535
109;-5882;-35799;-11729;-5882;108523
110;-5882;-47128;-11652;-5882;109513
111;-5876;-34001;-11591;-5876;110502
112;-5866;-49749;-11656;-5866;111493
113;-5866;-39814;-11632;-5866;112476
114;-5861;-34090;-11450;-5861;113459
115;-5861;-41866;-11259;-5861;114452
116;-5861;-33483;-11452;-5861;115442
117;-5813;-44684;-11521;-5813;116431
118;-5813;-41268;-11649;-5813;117419
119;-5813;-36747;-11378;-5813;118400
120;-5813;-33878;-11391;-5813;119385
121;-5813;-35883;-11549;-5813;120372
122;-5813;-40258;-11528;-5813;121361
123;-5813;-34681;-11407;-5813;122345
124;-5790;-34516;-11452;-5790;123334
125;-5790;-37210;-11222;-5790;124323
126;-5790;-36237;-11431;-5790;125318
127;-5790;-35905;-11441;-5790;126299
128;-5790;-38103;-11292;-5790;127286
129;-5790;-41353;-11187;-5790;128264
130;-5790;-37731;-11564;-5790;129244
131;-5790;-39831;-11354;-5790;130229
132;-5790;-32313;-11419;-5790;131212
133;-5790;-36804;-11316;-5790;132198
