Iterations;Overall best;Worst;Average;Best
0;-26779;-111508;-62701;-26779
1;-23253;-71531;-37432;-23253
2;-20665;-51730;-28105;-20665
3;-16395;-45434;-24661;-16395
4;-14953;-35797;-20750;-14953
5;-12413;-30718;-18085;-12413
6;-11226;-41373;-16336;-11226
7;-9879;-30485;-13911;-9879
8;-8781;-28733;-12199;-8781
9;-7721;-25852;-10567;-7721
10;-6591;-28229;-9479;-6591
11;-5561;-21134;-8586;-5561
12;-4689;-23868;-7581;-4689
13;-4252;-20034;-6503;-4252
14;-4118;-23817;-5695;-4118
15;-3195;-15096;-4935;-3195
16;-2756;-24028;-4653;-2756
17;-2300;-19782;-4124;-2300
18;-1800;-15866;-3555;-1800
19;-1464;-17398;-3123;-1464
20;-1210;-19539;-2566;-1210
21;-1096;-18206;-2301;-1096
22;-990;-12268;-2118;-990
23;-816;-19951;-1851;-816
24;-543;-18362;-1985;-543
25;-365;-17487;-1807;-365
26;-297;-18559;-1508;-297
27;-80;-12296;-1612;-80
28;135;-25775;-1799;135
29;219;-10568;-1328;219
30;446;-12257;-800;446
31;501;-17607;-697;501
32;604;-16728;-453;604
33;633;-18665;-353;633
34;768;-16503;-315;768
35;796;-15725;-48;796
36;796;-15940;-142;796
37;825;-16043;-54;825
38;825;-16864;-118;825
39;851;-17352;12;851
40;851;-18045;59;851
41;851;-14106;105;851
42;1051;-14842;-65;1051
43;1051;-14439;0;1051
44;1077;-12826;268;1077
45;1077;-12189;307;1077
46;1114;-15132;231;1114
47;1114;-15244;185;1114
48;1114;-11561;260;1114
49;1114;-14551;323;1114
50;1114;-17094;323;1114
51;1166;-18049;351;1166
52;1166;-12662;299;1166
53;1166;-17060;284;1166
54;1166;-17917;295;1166
55;1166;-17462;289;1166
56;1166;-16736;349;1166
57;1166;-17158;304;1166
58;1166;-13721;411;1166
59;1166;-12074;398;1166
60;1166;-15159;375;1166
61;1166;-12601;296;1166
62;1166;-15159;282;1166
63;1166;-14082;332;1166
64;1166;-14492;191;1166
65;1166;-9827;416;1166
66;1166;-12739;209;1166
67;1166;-16000;278;1166
68;1166;-16410;328;1166
69;1166;-18861;358;1166
70;1166;-14082;354;1166
71;1166;-14106;328;1166
72;1166;-17764;346;1166
73;1166;-14082;342;1166
74;1166;-15804;308;1166
75;1166;-12739;360;1166
76;1166;-11804;418;1166
77;1166;-15159;286;1166
78;1166;-12601;326;1166
79;1166;-12739;178;1166
80;1166;-16193;270;1166
81;1166;-16495;328;1166
82;1166;-15159;266;1166
83;1166;-17319;291;1166
84;1166;-11939;337;1166
85;1166;-14082;354;1166
86;1166;-17190;368;1166
87;1166;-14324;292;1166
88;1166;-14492;245;1166
89;1166;-12739;287;1166
90;1166;-13347;258;1166
91;1166;-15523;275;1166
92;1166;-16781;419;1166
93;1166;-15159;375;1166
94;1166;-18729;268;1166
95;1166;-12601;396;1166
96;1166;-15159;269;1166
97;1166;-17658;239;1166
98;1166;-11666;397;1166
99;1166;-9754;453;1166
Best solution:
	TSP: [24, 12, 51, 11, 52, 14, 13, 27, 26, 28, 25, 4, 43, 33, 10, 9, 8, 41, 19, 3, 17, 7, 2, 42, 30, 31, 18, 45, 39, 15, 6, 5, 38, 40, 46, 47, 29, 16, 44, 49, 32, 1, 50, 20, 23, 21, 22, 36, 35, 34, 37, 48]
KSP: 
