Iterations;Overall best;Worst;Average;Best;FFE
0;-3.82264e+06;-5.54683e+06;-4.52216e+06;-3.82264e+06;1000
1;-3.5943e+06;-4.99356e+06;-4.20448e+06;-3.5943e+06;1996
2;-3.48237e+06;-4.95037e+06;-4.02844e+06;-3.48237e+06;2994
3;-3.30096e+06;-5.08316e+06;-3.85807e+06;-3.30096e+06;3990
4;-3.20724e+06;-4.98066e+06;-3.73677e+06;-3.20724e+06;4989
5;-3.11936e+06;-5.08181e+06;-3.6651e+06;-3.11936e+06;5987
6;-3.10106e+06;-4.88204e+06;-3.56623e+06;-3.10106e+06;6986
7;-3.00231e+06;-4.93734e+06;-3.49777e+06;-3.00231e+06;7986
8;-2.93979e+06;-4.86839e+06;-3.4504e+06;-2.93979e+06;8985
9;-2.93472e+06;-5.09296e+06;-3.43986e+06;-2.93472e+06;9982
10;-2.8747e+06;-5.20584e+06;-3.39209e+06;-2.8747e+06;10979
11;-2.82254e+06;-5.02376e+06;-3.36648e+06;-2.82254e+06;11976
12;-2.76516e+06;-5.01248e+06;-3.33765e+06;-2.76516e+06;12974
13;-2.76064e+06;-4.96239e+06;-3.25627e+06;-2.76064e+06;13971
14;-2.738e+06;-4.78032e+06;-3.20704e+06;-2.738e+06;14968
15;-2.68968e+06;-4.75091e+06;-3.1633e+06;-2.68968e+06;15965
16;-2.65783e+06;-5.01919e+06;-3.15266e+06;-2.65783e+06;16961
17;-2.63047e+06;-5.00444e+06;-3.1168e+06;-2.63047e+06;17959
18;-2.58087e+06;-4.92776e+06;-3.10038e+06;-2.58087e+06;18953
19;-2.52825e+06;-4.8845e+06;-3.06316e+06;-2.52825e+06;19948
20;-2.50344e+06;-4.68433e+06;-3.03721e+06;-2.50344e+06;20942
21;-2.50344e+06;-4.83216e+06;-3.02396e+06;-2.5317e+06;21942
22;-2.47984e+06;-4.62276e+06;-2.98788e+06;-2.47984e+06;22939
23;-2.44315e+06;-5.04454e+06;-2.95589e+06;-2.44315e+06;23938
24;-2.41839e+06;-5.02374e+06;-2.93139e+06;-2.41839e+06;24933
25;-2.38509e+06;-4.7792e+06;-2.89136e+06;-2.38509e+06;25932
26;-2.37343e+06;-4.43981e+06;-2.86583e+06;-2.37343e+06;26932
27;-2.35156e+06;-4.75067e+06;-2.8518e+06;-2.35156e+06;27928
28;-2.31727e+06;-4.41702e+06;-2.83886e+06;-2.31727e+06;28925
29;-2.29987e+06;-4.64464e+06;-2.8271e+06;-2.29987e+06;29924
30;-2.27224e+06;-4.38548e+06;-2.7858e+06;-2.27224e+06;30921
31;-2.21914e+06;-4.40282e+06;-2.76741e+06;-2.21914e+06;31921
32;-2.2171e+06;-4.38323e+06;-2.72773e+06;-2.2171e+06;32917
