Iterations;Overall best;Worst;Average;Best;FFE
0;20501;-35313;-3500;20501;1000
1;22215;-25787;-45;22215;2000
2;23542;-27593;1337;23542;3000
3;23542;-23719;2136;22210;4000
4;23542;-26613;1832;23413;5000
5;24148;-28178;1454;24148;6000
6;24148;-24571;1911;21826;7000
7;24148;-27620;2034;23331;8000
8;24148;-33901;2521;22966;9000
9;24148;-34652;2572;22481;10000
10;26918;-26500;2812;26918;11000
11;26918;-31035;2652;24418;12000
12;26918;-26939;2638;23342;13000
13;26918;-27353;2639;24000;14000
14;26918;-30797;2810;24772;15000
15;26918;-26324;2730;23945;16000
16;26918;-26848;3500;24624;17000
17;26918;-27148;3296;25929;18000
18;26918;-30813;2559;25029;19000
19;26918;-30693;2356;24310;20000
20;27572;-27150;1734;27572;21000
21;27572;-26111;2609;24606;22000
22;27572;-29693;2917;23036;23000
23;27572;-22520;2646;23092;24000
24;27572;-25842;2089;22953;25000
25;27572;-27372;2495;24852;26000
26;27572;-30438;2053;26800;27000
27;27572;-23815;2243;22374;28000
28;27572;-33337;2058;23929;29000
29;27572;-38052;1542;24906;30000
30;27572;-28341;1875;22783;31000
31;27572;-33771;2194;27447;32000
32;27572;-28034;2364;22978;33000
33;27572;-26946;1876;24348;34000
34;27572;-31607;2749;23604;35000
35;27572;-30350;1909;26575;36000
36;27572;-32177;1788;25688;37000
37;27572;-32978;2201;25283;38000
38;27572;-27815;2074;21700;39000
39;27572;-33562;1687;23359;40000
40;27572;-28542;2172;25082;41000
41;27572;-29274;2292;25674;42000
42;27572;-24887;3127;23420;43000
43;27572;-25927;2879;24605;44000
44;27572;-33337;2768;24136;45000
45;27572;-33202;2500;23647;46000
46;27572;-28798;2044;25000;47000
47;27572;-24090;2602;25713;48000
48;27769;-33853;2395;27769;49000
49;27769;-26298;2545;24315;50000
50;27769;-31340;2534;25930;51000
51;27769;-26740;2153;27121;52000
52;27769;-26920;3367;24719;53000
53;27769;-23858;2887;26618;54000
54;27769;-36558;2300;26500;55000
55;27769;-31961;2397;24880;56000
56;27769;-34029;2085;22615;57000
57;27769;-29581;2791;25484;58000
58;27769;-25975;2721;24097;59000
59;27769;-34171;2808;25370;60000
60;27769;-30495;2748;23596;61000
61;27769;-28554;3086;23660;62000
62;27769;-30424;2115;24029;63000
63;27769;-34169;2840;22130;64000
64;27769;-28104;2865;24759;65000
65;27769;-25141;3079;25567;66000
66;28385;-26725;2778;28385;67000
67;28385;-25968;2652;25418;68000
68;28385;-35684;1984;25988;69000
69;28385;-23540;1742;24596;70000
70;28385;-30621;2042;23409;71000
71;28385;-33274;2721;24711;72000
72;28385;-27396;2141;25614;73000
73;28385;-30715;2185;24615;74000
74;28385;-24187;2525;24334;75000
75;28385;-38372;2244;21676;76000
76;28385;-30807;2701;24332;77000
77;28385;-29752;2465;26405;78000
78;30263;-25735;2921;30263;79000
79;30263;-29294;2060;24723;80000
80;30263;-27063;2533;24775;81000
81;30263;-31079;2961;27643;82000
82;30263;-25475;3387;26560;83000
83;30263;-27647;2723;24637;84000
84;30263;-34832;3530;22759;85000
85;30263;-30882;2770;23030;86000
86;30263;-36203;2598;26372;87000
87;30263;-26907;2604;23789;88000
88;30263;-33814;2106;23844;89000
89;30263;-28772;2671;24179;90000
90;30263;-32212;1872;23498;91000
91;30263;-28266;2507;24693;92000
92;30263;-27978;1914;23492;93000
93;30263;-26226;2761;28454;94000
94;30263;-24325;2626;25212;95000
95;30263;-30150;2776;27826;96000
96;30263;-30920;2971;26694;97000
97;30263;-30760;3009;23590;98000
98;30263;-37148;2677;22608;99000
99;30263;-27139;2490;21489;100000
100;30263;-24609;1756;25408;101000
101;30263;-28316;2402;26627;102000
102;30263;-31993;2468;26714;103000
103;30263;-23588;2149;24608;104000
104;30263;-33883;1728;24872;105000
105;30263;-30721;2015;23754;106000
106;30263;-29479;2001;24095;107000
107;30263;-24695;2264;28521;108000
108;31381;-34156;2122;31381;109000
109;31381;-27428;2284;26188;110000
110;31381;-27663;2114;24397;111000
111;31381;-31204;2322;26381;112000
112;31381;-29952;2192;25662;113000
113;31381;-32240;3025;25995;114000
114;31381;-22765;3089;24297;115000
115;31381;-28163;2224;26597;116000
116;31381;-33264;2175;24385;117000
117;31381;-30479;2038;25188;118000
118;31381;-28509;1961;26021;119000
119;31381;-24877;2346;26793;120000
120;31381;-20467;2361;24740;121000
121;31381;-30538;2723;23973;122000
122;31381;-38961;1772;26347;123000
123;31381;-30791;2641;23340;124000
124;31381;-25973;2608;27940;125000
125;31381;-30291;1976;28308;126000
126;31381;-32674;1846;25051;127000
127;31381;-32795;1699;28522;128000
128;31381;-25539;2686;23215;129000
129;31381;-29638;2226;24641;130000
130;31381;-29504;3088;25141;131000
131;31381;-28389;2921;26127;132000
132;31381;-26692;2669;23317;133000
133;31381;-28039;2464;23873;134000
134;31381;-32484;2045;22309;135000
135;31381;-27246;2217;25172;136000
136;31381;-24216;2162;23991;137000
137;31381;-24109;2562;25571;138000
138;31381;-30882;2869;26700;139000
139;31381;-32592;2570;22770;140000
140;31381;-31435;2507;23905;141000
141;31381;-27403;2904;24567;142000
142;31381;-28824;2269;25113;143000
143;31381;-29169;2460;26674;144000
144;31381;-25689;3028;23980;145000
145;31381;-30258;1554;23985;146000
146;31381;-28867;2895;23398;147000
147;31381;-30103;3049;24189;148000
148;31381;-31620;3197;27931;149000
149;31381;-30446;3787;23595;150000
150;31381;-27013;3236;26817;151000
151;31381;-39675;2038;23766;152000
152;31381;-35269;2666;23642;153000
153;31381;-29317;2207;23920;154000
154;31381;-32058;2854;27035;155000
155;31381;-30349;2916;24800;156000
156;31381;-25093;2492;22868;157000
157;31381;-30262;2528;24738;158000
158;31381;-24660;3009;22026;159000
159;31381;-31185;2489;27215;160000
160;31381;-37412;2869;25645;161000
161;31381;-22928;2939;25728;162000
162;31381;-27749;2873;26389;163000
163;31381;-31833;2935;25911;164000
164;31381;-31953;2927;23773;165000
165;31381;-26351;2077;26774;166000
166;31381;-27834;1798;24780;167000
167;31381;-24868;1925;25026;168000
168;31381;-28382;2302;25367;169000
169;31381;-33590;2402;22313;170000
170;31381;-32474;2902;26198;171000
171;31381;-25904;3076;25132;172000
172;31381;-38750;2611;26189;173000
173;31381;-33794;2428;23854;174000
174;31381;-28688;2667;29416;175000
175;31381;-27796;2962;30040;176000
176;31381;-26210;3218;26258;177000
177;31381;-27449;2814;24522;178000
178;31381;-24100;2582;29610;179000
179;31381;-31342;2912;24389;180000
180;31381;-28234;2394;22612;181000
181;31381;-34738;2055;23721;182000
182;31381;-28980;2249;25886;183000
183;31381;-28776;2770;23933;184000
184;31381;-30764;2085;26751;185000
185;31381;-33133;2478;25945;186000
