Iterations;Overall best;Worst;Average;Best;FFE
0;12278;-25832;-3520;12278;100
1;17200;-17050;164;17200;189
2;17200;-11517;3808;16993;281
3;20603;-12296;5064;20603;373
4;20603;-10601;7603;19232;460
5;20773;-9674;8391;20773;554
6;20773;-17384;8056;19121;648
7;20773;-6460;8837;20216;737
8;20773;-5621;8764;18831;831
9;23919;-13652;8365;23919;924
10;23919;-7450;7931;19838;1006
11;23919;-11812;8616;20996;1098
12;23919;-6336;8875;20487;1195
13;23919;-6429;9456;20487;1279
14;27348;-3666;10270;27348;1370
15;27348;-2865;10297;20988;1456
16;27348;-490;11461;23112;1542
17;27348;-1356;12336;25199;1632
18;27348;314;13328;23828;1717
19;27348;-3825;12710;22890;1807
20;27348;-2170;12744;22590;1899
21;27348;-8663;10782;23463;1990
22;27348;-4642;12151;22775;2079
23;27348;-7603;11971;22711;2173
24;27348;-8789;12676;22711;2259
25;27348;-24;14207;22711;2348
26;27348;-303;13115;22560;2439
27;27348;-342;14064;21581;2530
28;27348;3887;13870;24413;2622
29;27348;1381;13034;22873;2715
30;27348;419;13368;22873;2807
31;27348;1651;13733;23129;2895
32;27348;3985;14000;23369;2993
33;27348;6998;15231;24196;3081
34;27348;2831;14738;27162;3167
35;27963;1860;16687;27963;3252
36;27984;-545;17078;27984;3345
37;27984;4503;16692;26863;3431
38;27984;5414;16900;25759;3523
39;27984;5472;18035;25228;3615
40;27984;5400;19304;26026;3697
41;27984;12258;20521;27579;3791
42;27984;11294;20190;27974;3879
43;28435;12353;20211;28435;3966
44;29986;5086;20178;29986;4056
45;29986;7739;20035;27147;4138
46;29986;8540;20354;28534;4230
47;29986;5664;20070;28736;4322
48;29986;8516;19083;28820;4417
49;29986;6767;18470;27129;4512
50;29986;9980;19302;28702;4603
51;29986;4678;19388;26521;4695
52;29986;9924;18920;27815;4792
53;30231;8620;19228;30231;4880
54;30231;6872;18213;26428;4972
55;30231;7928;17618;25738;5060
56;30231;8853;17848;26050;5158
57;30231;9560;17433;24918;5251
58;30231;8569;16984;25723;5347
59;30231;4803;16150;25280;5445
60;30231;3986;15531;22838;5533
61;30231;5550;16465;28127;5621
62;30231;7460;17272;26097;5713
63;30231;9798;18418;27193;5801
64;30231;9811;19018;26532;5885
65;30231;-2517;18748;26601;5979
66;30231;6704;19003;28430;6069
67;30231;12173;19951;27526;6164
68;30231;993;20151;30089;6251
69;30231;12226;20686;28171;6334
70;30231;11484;20733;28579;6414
71;30231;11412;20707;28566;6501
72;30231;9846;21805;29483;6593
73;30275;11558;21448;30275;6678
74;30275;11871;21504;28355;6772
75;30275;12775;21892;28355;6860
76;30275;15417;22400;28355;6949
77;30275;14377;22230;29970;7042
78;30275;12420;21318;28950;7132
79;30275;7787;20338;29366;7226
80;30275;12425;20457;26196;7314
81;30275;11020;20051;29354;7405
82;30275;11449;20236;28390;7497
83;30275;3919;20808;28603;7586
84;30575;6078;20957;30575;7674
85;30575;10362;19728;28097;7764
86;30575;9918;20200;29319;7854
87;30575;7805;19746;27883;7951
88;30575;9096;19685;28364;8039
89;30575;9725;19024;28364;8121
90;30575;7239;18349;26675;8213
91;30575;8680;18066;26066;8309
92;30575;6036;17015;25765;8402
93;30575;5328;17021;29391;8492
94;30575;3370;16290;27968;8576
95;30575;6369;15983;25312;8662
96;30575;4963;17410;26824;8757
97;30575;6085;16639;23007;8845
98;30575;5685;16462;25821;8938
99;30575;4426;15610;23824;9021
